Entity,"Ambient air pollution death rates in 2016 (deaths per 100,000)","Ambient air pollution death rates in 1990 (deaths per 100,000)",Total population (2015),Region
Afghanistan,207.6554915,227.81522059999998,34499915,Asia
Albania,38.91062468,55.93745524,3238316,Europe
Algeria,47.73321713,74.23296217,36983924,Africa
American Samoa,5.92167545,11.65851422,71834,North America
Andorra,14.53982816,23.54758428,88909,Europe
Angola,75.31305079999998,107.4255754,20714494,Africa
Antigua and Barbuda,24.19632854,44.12657797,91404,South America
Argentina,31.72279291,49.46171707,41473982,South America
Armenia,55.63426032,74.95115174,3117722,Europe
Australia,7.926322065,21.85131159,23213944,Australia
Austria,18.9673182,43.44633722,8441263,Europe
Azerbaijan,89.31021231,114.46674180000001,9533445,Asia
Bahamas,26.95182846,47.38745784,355233,South America
Bahrain,62.7120671,138.43819399999998,1377273,Asia
Bangladesh,116.52298540000001,141.5446801,154393847,Asia
Barbados,25.300210999999997,42.64229212,275141,South America
Belarus,67.26404079,97.91146729,9498290,Europe
Belgium,22.07697316,46.12085523,10815599,Europe
Belize,47.11660974,60.94777829,330721,South America
Benin,122.93157350000001,125.6294132,9606534,Africa
Bermuda,19.95421886,64.49529273,65335,South America
Bhutan,80.44974928,120.1366221,762313,Africa
Bolivia,45.87262476,96.03188134,10409761,South America
Bosnia and Herzegovina,55.90147928,105.80641570000002,3735880,Europe
Botswana,61.30340281,73.47418383,2074616,Africa
Brazil,28.42237564,59.97393709,200050487,South America
Brunei,16.29680486,21.10867045,419772,Africa
Bulgaria,67.37817157,121.2033774,7349462,Europe
Burkina Faso,123.2510523,128.1065347,18011507,Africa
Burundi,96.83008197,160.3674197,8911183,Africa
Cambodia,72.63816224,100.2333703,14656016,Asia
Cameroon,147.80514340000002,138.5179034,20913595,Africa
Canada,11.39743065,23.37617639,34993747,North America
Cape Verde,79.58468052,89.13942727,510213,Africa
Central African Republic,152.21215859999998,149.1368753,4666833,Africa
Chad,130.2306071,123.98339399999999,12141876,Africa
